faoCode,faoName,scientificName
ESQ,Old wife fishes,Enoplosus spp
ESR,Commerson's anchovy,Stolephorus commersonii
ESS,False white prawn,Penaeus silasi
EST,White sardine,Escualosa thoracata
ESU,Common hairfin anchovy,Setipinna tenuifilis
ESV,Jembret shrimp,Acetes vulgaris
ESW,Spotty-face anchovy,Stolephorus waitei
ESX,Splendid spooner,Etisus splendidus
ESY,Scaly hairfin anchovy,Setipinna taty
ESZ,Skilfish,Erilepis zonifer
ETA,Deep-water red snapper,Etelis carbunculus
ETB,Blurred smooth lantern shark,Etmopterus bigelowi
ETC,Deepwater longtail red snapper,Etelis coruscans
ETE,Etmopterus compagnoi,Etmopterus compagnoi
ETF,Blackbelly lanternshark,Etmopterus lucifer
ETG,False scorpionfish,Centrogenys vaigiensis
ETH,Shorttail lanternshark,Etmopterus brachyurus
ETI,Broadbanded lanternshark,Etmopterus gracilispinis
ETJ,Brown lanternshark,Etmopterus unicolor
ETK,Splendid lanternshark,Etmopterus splendidus
ETL,Mollers lantern shark,Etmopterus molleri
ETM,Southern lanternshark(Lucifer),Etmopterus granulosus
ETN,Carribean lanternshark,Etmopterus hillianus
ETO,Combtoothed lanternshark,Etmopterus decacuspidatus
ETP,Smooth lanternshark,Etmopterus pusillus
ETQ,Thorny lanternshark,Etmopterus sentosus
ETR,Great lanternshark,Etmopterus princeps
ETT,African lanternshark,Etmopterus polli
ETU,Lined lanternshark,Etmopterus bullisi
ETV,Hawaiian lanternshark,Etmopterus villosus
ETW,Green lanternshark,Etmopterus virens
ETX,Velvet belly,Etmopterus spinax
ETZ,Fringfin lanternshark,Etmopterus schultzi
EUB,Winghead shark,Eusphyra blochii
EUF,Eustomias furcifer,Eustomias furcifer
EUI,Longfin silverside,Eurystole eriarcha
EUJ,Leatherfin lumpsucker,Eumicrotremus derjugini
EUK,Persimmon eelpout,Eucryphycus californicus
EUL,Eulachon,Thaleichthys pacificus
EUN,Eustomias tetranema,Eustomias tetranema
EUO,Eustomias longibarba,Eustomias longibarba
EUP,Pygmy shark,Euprotomicrus bispinatus
EUQ,Eustomias obscurus,Eustomias obscurus
EUR,Eustomias braueri,Eustomias braueri
EUW,Eurypleuron owasianum,Eurypleuron owasianum
EUX,Sawedged spooner,Etisus utilis
EUY,Eucla cod,Euclichthys polynemus
EUZ,Taillight shark,Euprotomicroides zantedeschia
EVB,Snubnose anchovy,Anchoviella brevirostris
EVD,Threadfin porgy,Evynnis cardinalis
EVE,Elongate anchovy,Anchoviella elongata
EVF,Echiophis creutzbergi,Echiophis creutzbergi
EVI,Striped boarfish,Evistias acutirostris
EVL,Broadband anchovy,Anchoviella lepidentostole
EVM,Sponge goby,Evermannichthys metzelaari
EVN,Cayenne anchovy,Anchoviella cayennensis
EVO,Balbo sabretooth,Evermannella balbo
EVP,Poey's scabbardfish,Evoxymetopon poeyi
EVR,Lyre goby,Evorthodus lyricus
EVS,Shield fan lobster,Evibacus princeps
EVW,Echelus pachyrhynchus,Echelus pachyrhynchus
EVX,Eviota abax,Eviota abax
EVY,Evynnis spp,Evynnis spp
EVZ,Atlantic flyingfish,Cheilopogon melanurus
EWB,Guinean flyingfish,Cheilopogon milleri
EWC,Whitespotted grouper,Epinephelus caeruleopunctatus
EWD,Bennettâ€™s flyingfish,Cheilopogon pinnatibarbatus
EWE,Dotted grouper,Epinephelus epistictus
EWF,Brown-marbled grouper,Epinephelus fuscoguttatus
EWG,Striped-fin grouper,Epinephelus posteli
EWH,Pacific spoon-nose eel,Echiophis brunneus
EWI,Marquesan grouper,Epinephelus irroratus
EWK,Longtooth hairtail,Eupleurogrammus glossodon
EWL,Potato grouper,Epinephelus tukula
EWM,Netfin grouper,Epinephelus miliaris
EWN,Mottled eel,Anguilla nebulosa
EWO,Eightbar grouper,Epinephelus octofasciatus
EWP,Dot-dash grouper,Epinephelus poecilonotus
EWR,Red-tipped grouper,Epinephelus retouti
EWS,Summan grouper,Epinephelus summana
EWT,Reticulate grouper,Epinephelus tuamotuensis
EWU,White-blotched grouper,Epinephelus multinotatus
EWV,Barred-chest grouper,Epinephelus faveatus
EWW,Longspine grouper,Epinephelus longispinis
EWY,Smallscaled grouper,Epinephelus polylepis
EWZ,Moustache grouper,Epinephelus chabaudi
EXD,Exechodontes daidaleus,Exechodontes daidaleus
EXE,Mud reef-goby,Exyrias belissimus
EXH,Longfingered peeler crab,Epixanthus dentatus
EXL,Map octopus,Euaxoctopus pillsburyae
EXP,Erisphex philippinus,Erisphex philippinus
EXQ,Flying halfbeak,Euleptorhamphus velox
EXR,Leopard blenny,Exallias brevis
EXS,Sargassum blenny,Exerpes asper
EXV,Tropical two-wing flyingfish,Exocoetus volitans
EYB,Baelama anchovy,Thryssa baelama
EYC,Short dragonfish,Eurypegasus draconis
EYD,Dussumier's thryssa,Thryssa dussumieri
EYE,False baelama anchovy,Thryssa encrasicholoides
EYF,Seleniolycus laevifasciatus,Seleniolycus laevifasciatus
EYH,Hamilton's thryssa,Thryssa hamiltonii
EYJ,Short-tail thryssa,Thryssa brevicauda
EYK,Kammal thryssa,Thryssa kammalensis
EYM,Malabar thryssa,Thryssa malabarica
EYN,Eupetrichthys angustipes,Eupetrichthys angustipes
EYO,Atlantic rubyfish,Erythrocles monodi
EYP,Oblique-jaw thryssa,Thryssa purava
EYQ,Mimika bobtail squid,Euprymna morsei
EYS,New Guinea thryssa,Thryssa scratchleyi
EYT,Longjaw thryssa,Thryssa setirostris
EYU,Smoothcheek sculpin,Eurymen gyrinus
EYV,Orangemouth anchovy,Thryssa vitrirostris
EYW,Whitehead's thryssa,Thryssa whiteheadi
EYX,Robustus swimcrab,Euphylax robustus
EYY,Moustached thryssa,Thryssa mystax
EYZ,Southern bobtail squid,Euprymna tasmanica
EZA,Proud dragonfish,Eustomias achirus
EZC,Softhead stardrum,Stellifer zestocarus
EZE,Yellow octopus,Enteroctopus zealandicus
EZI,Emerita austroafricana,Emerita austroafricana
EZM,Patagonian giant octopus,Enteroctopus megalocyathus
EZN,Star-studded grouper,Epinephelus niphobles
EZO,Foursaddle grouper,Epinephelus spilotoceps
EZP,One-blotch grouper,Epinephelus melanostigma
EZQ,Pacific goliath grouper,Epinephelus quinquefasciatus
EZR,Oblique-banded grouper,Epinephelus radiatus
EZS,Slender rockfish,Scorpaena elongata
EZW,Sabretooth anchovys nei,Lycengraulis spp
FAA,Eustomias dendriticus,Eustomias dendriticus
FAC,Crimson pasiphaeid,Pasiphaea tarda
FAD,Banded bonnet,Phalium bandatum
FAF,Barbate dragonfish,Eustomias enbarbatus
FAH,Eustomias filifer,Eustomias filifer
FAI,Eustomias lipochirus,Eustomias lipochirus
FAJ,Japanese glass shrimp,Pasiphaea japonica
FAK,Eustomias melanonema,Eustomias melanonema
FAL,Silky shark,Carcharhinus falciformis
FAM,Pink glass shrimp,Pasiphaea multidentata
FAN,Eustomias melanostigma,Eustomias melanostigma
FAP,Yellowtail clownfish,Amphiprion clarkii
FAR,Checkerboard bonnet,Phalium areola
FAS,Falkland sprat,Sprattus fuegensis
FAU,Grey bonnet,Phalium glaucum
FAV,White glass shrimp,Pasiphaea sivado
FAX,Phalium spp,Phalium spp
FBA,Starry moray,Gymnothorax nudivomer
FBB,Laced moray,Gymnothorax favagineus
FBC,Diana's hogfish,Bodianus diana
FBD,Boleophthalmus dussumieri,Boleophthalmus dussumieri
FBH,Phenablennius heyligeri,Phenablennius heyligeri
FBX,Subantarctic ruby prawn nei,Acanthephyra spp
FCA,Atrophacanthus japonicus,Atrophacanthus japonicus
FCQ,Starry goby,Asterropteryx semipunctata
FCS,Photocorynus spiniceps,Photocorynus spiniceps
FCT,Phenacostethus posthon,Phenacostethus posthon
FCW,Hardyhead silverside,Atherinomorus lacunosus
FCZ,Luminous slickhead,Aulastomatomorpha phospherops
FDA,Bullseye puffer,Sphoeroides annulatus
FDK,Phallostethus dunckeri,Phallostethus dunckeri
FDM,Pherallodichthys meshimaensis,Pherallodichthys meshimaensis
FDT,Checkered puffer,Sphoeroides testudineus
FEB,Teppo snapping shrimp,Alpheus brevicristatus
FED,Forceps snapping shrimp,Alpheus digitalis
FEE,Bigclaw snapping shrimp,Alpheus heterochaelis
FEG,Daisy snapping shrimp,Alpheus gracilipes
FEH,Armed snapping shrimp,Alpheus hoplocheles
FEI,Flathead snapping shrimp,Alpheus bisincisus
FEJ,Japanese snapping shrimp,Alpheus japonicus
FEL,Red snapping shrimp,Alpheus glaber
FEP,Bristle snapping shrimp,Alpheus spongiarum
FES,Coral snapping shrimp,Alpheus sublucanus
FET,Queensland snapping shrimp,Alpheus stephensoni
FEU,Nymph snapping shrimp,Alpheus euphrosyne
FEW,Oregon triton,Fusitriton oregonensis
FEX,Fusitriton spp,Fusitriton spp
FFP,Eviota guttata,Eviota guttata
FFQ,Leopard dwarfgoby,Eviota pardalota
FFR,Eviota sebreei,Eviota sebreei
FFV,Fourwing flyingfish,Hirundichthys affinis
FFX,"Filefishes, leatherjackets nei",Monacanthidae
FFY,Hollow stardrum,Stellifer ericymba
FFZ,Bony flyingfish,Hirundichthys oxycephalus
FGA,Siphonognathus argyrophanes,Siphonognathus argyrophanes
FGF,Longnose butterfly fish,Forcipiger flavissimus
FGH,Agulhas goby,Caffrogobius agulhensis
FGN,Rock gunnel,Pholis gunnellus
FGU,Flagellostomias boureei,Flagellostomias boureei
FGV,Lopholatilus villarii,Lopholatilus villarii
FHC,Rock sea bass,Centropristis philadelphica
FHS,Grooved razor-fish,Centriscus scutatus
FIC,Long-fingered icefish,Cryodraco antarcticus
FIG,Graceful fig shell,Ficus gracilis
FIH,Sevenfinger threadfin,Filimanus heptadactyla
FIK,Planehead filefish,Stephanolepis hispidus
FIL,Threadsail filefish,Stephanolepis cirrhifer
FIM,Transparent goby,Aphia minuta
FIN,Finfishes nei,Osteichthyes
FIO,Bluespotted cornetfish,Fistularia commersonii
FIP,Red cornetfish,Fistularia petimba
FIT,Flutemouth,Fistularia spp
FIU,Underlined fig shell,Ficus subintermedia
FJN,Chauliodus pammelas,Chauliodus pammelas
FJR,Suez fusilier,Caesio suevica
FJS,Fiji sardinella,Sardinella fijiense
FKL,Wooden fasciolaria,Fasciolaria lignaria
FKX,Fasciolaria spp,Fasciolaria spp
FLA,Brazilian flathead,Percophis brasiliensis
FLB,Florenciella lugubris,Florenciella lugubris
FLD,Windowpane flounder,Scophthalmus aquosus
FLE,European flounder,Platichthys flesus
FLF,Filefishes nei,Cantherhines (=Navodon) spp
FLG,Tiger pipefish,Filicampus tigris
FLH,Flatheads nei,Platycephalidae
FLI,Bartail flathead,Platycephalus indicus
FLL,Flabelligobius latruncularius,Flabelligobius latruncularius
FLM,Margarita murex,Phyllonotus margaritensis
FLN,Pherallodus indicus,Pherallodus indicus
FLO,Apple murex,Phyllonotus pomum
FLP,Fleshy prawn,Penaeus chinensis
FLS,Summer flounder,Paralichthys dentatus
FLW,Winter flounder,Pseudopleuronectes americanus
FLX,Flatfishes nei,Pleuronectiformes
FLY,Flyingfishes nei,Exocoetidae
FMB,Fusitriton magellanicus,Fusitriton magellanicus
FMG,Scotch bonnet,Semicassis granulata
FMN,Pajama cardinalfish,Sphaeramia nematoptera
FMS,Saburon helmet,Phalium saburon
FMV,Sea urchin cardinalfish,Siphamia versicolor
FMX,Galeichthys spp,Galeichthys spp
FNG,Giant false limpet,Siphonaria gigas
FNJ,Javanese false limpet,Siphonaria javanica
FNL,Fringed false limpet,Siphonaria laciniosa
FNS,Sirius false limpet,Siphonaria sirius
FNT,Banded murex,Phyllonotus trunculus
FNX,Duplex murex,Phyllonotus duplex
FOA,Sharpchin flyingfish,Fodiator acutus
FOB,Weed cardinalfish,Foa brachygramma
FOC,Common stinkfish,Foetorepus calauropomus
FOH,Chatham deep-water triplefin,Forsterygion bathytaton
FOL,Antarctic trophon,Trophon albolabratus
FON,Pholidichthys anguis,Pholidichthys anguis
FOR,Forkbeard,Phycis phycis
FOT,Fourfinger threadfin,Eleutheronema tetradactylum
FOX,Forkbeards nei,Phycis spp
FPJ,Aplodactylus punctatus,Aplodactylus punctatus
FPX,Trophon spp,Trophon spp
FQB,Samoan silverside,Hypoatherina temminckii
FQQ,Acanthephyra eximia,Acanthephyra eximia
FQX,Histioteuthis spp,Histioteuthis spp
FRC,Fraudella carassiops,Fraudella carassiops
FRE,Frontilabrus caeruleus,Frontilabrus caeruleus
FRI,Frigate tuna,Auxis thazard
FRJ,Artemia franciscana,Artemia franciscana
FRN,Norwegian topknot,Phrynorhombus norvegicus
FRS,Fringescale sardinella,Sardinella fimbriata
FRU,White seaperch,Phanerodon furcatus
FRZ,Frigate and bullet tunas,"Auxis thazard, A. rochei"
FSA,Sand flounders nei,Rhombosolea spp
FSB,Barbados keyhole limpet,Fissurella barbadensis
FSD,Du Petit's spindle,Fusinus dupetitthouarsi
FSE,Green Panama keyhole limpet,Fissurella virescens
FSK,Compressed keyhole limpet,Fissurella coarctata
FSM,Rayed keyhole limpet,Fissurella nimbosa
FSO,Beaked fusus,Fusinus rostratus
FST,True tulip,Fasciolaria tulipa
FSU,Cloudy keyhole limpet,Fissurella nubecula
FSX,Fissurella spp,Fissurella spp
FSY,Syracusan fusus,Fusinus syracusanus
FSZ,Smallscale slimehead,Hoplostethus melanopus
FTA,Barred mudskipper,Periophthalmus argentilineatus
FTB,Coffeebean scaled squid,Pholidoteuthis boschmai
FTD,Scaled squid,Pholidoteuthis adami
FTF,Periophthalmodon freycineti,Periophthalmodon freycineti
FTG,Regal murex,Phyllonotus regius
FTI,Atlantic mudskipper,Periophthalmus barbarus
FTL,Deep-water flathead,Platycephalus conatus
FTR,Cabbage murex,Phyllonotus brassica
FTS,Flathead sole,Hippoglossoides elassodon
FTY,Pink-mouthed murex,Phyllonotus erythrostoma
FUC,Pacific cornetfish,Fistularia corneta
FUD,Barenape goby,Fusigobius duospilus
FUE,Fusigobius inframaculatus,Fusigobius inframaculatus
FUI,Furcina ishikawae,Furcina ishikawae
FUK,Distaff spindle,Fusinus colus
FUL,Philippi's spindle,Fusinus closter
FUM,Mousey klipfish,Fucomimus mus
FUN,Nicobar spindle,Fusinus nicobaricus
FUQ,Pacific Scotch bonnet,Phalium centiquadratum
FUS,Fusiliers Caesio nei,Caesio spp
FUT,Cornetfish,Fistularia tabacaria
FVE,Vendace,Coregonus albula
FWB,Mottled cardinalfish,Fowleria vaiulae
FWC,Variegated cardinalfish,Fowleria variegata
FWU,Crosseyed cardinalfish,Fowleria aurita
FXB,Bathyphylax bombifrons,Bathyphylax bombifrons
FXC,Freckled cardinalfish,Phaeoptyx conklini
FXE,Festucalex erythraeus,Festucalex erythraeus
FXM,Manystriped blowfish,Feroxodon multistriatus
FXW,Festucalex wassi,Festucalex wassi
FYB,Sphyraenops bairdianus,Sphyraenops bairdianus
FYU,Peaked shrimp,Acanthephyra curtirostris
FYX,Stellifer spp,Stellifer spp
FZZ,Coccoâ€™s lanternfish,Gonichthys cocco
GAA,Roughtail catshark,Galeus arae
GAB,Australian sawtail catshark,Galeus boardmani
GAC,Doublethread grenadier,Gadomus arcuatus
GAD,Gadiformes nei,Gadiformes
GAE,Gecko catshark,Galeus eastmani
GAG,Tope shark,Galeorhinus galeus
GAH,Dwarf sawtail catshark,Galeus schultzi
GAI,Blacktip sawtail catshark,Galeus sauteri
GAJ,Galjoen,Dichistius capensis
GAK,Square-shelled crab,Galene bispinosa
GAL,Lesser African threadfin,Galeoides decadactylus
GAM,Mouse catshark,Galeus murinus
GAN,Broadfin sawtail catshark,Galeus nipponensis
GAO,Galeus longirostris,Galeus longirostris
GAP,Peppered catshark,Galeus piperatus
GAQ,African sawtail catshark,Galeus polli
GAR,Garfish,Belone belone
GAS,Gastropods nei,Gastropoda
GAT,White barbel,Galeichthys feliceps
GAU,Crest-tail catsharks nei,Galeus spp
GAV,Aplochiton zebra,Aplochiton zebra
GAZ,Gazami crab,Portunus trituberculatus
GBA,Great barracuda,Sphyraena barracuda
GBB,Brachygalaxias bullocki,Brachygalaxias bullocki
GBC,Giant goby,Gobius cobitis
GBE,Spotted kelpfish,Gibbonsia elegans
GBF,Two-spotted goby,Gobiusculus flavescens
GBJ,White gibbula,Gibbula albida
GBK,Crescent goby,Gobulus crescentalis
GBL,Biglip grunt,Plectorhinchus macrolepis
GBN,Black goby,Gobius niger
GBO,Grass goby,Zosterisessor ophiocephalus
GBQ,Adanson's gibbula,Gibbula adansoni
GBR,Rubberlip grunt,Plectorhinchus mediterraneus
GBS,Broomtail grouper,Mycteroperca xenarcha
GBT,Gibberichthys latifrons,Gibberichthys latifrons
GBU,Japanese blacktail triplefin,Gracilopterygion bapturum
GBW,Divaricate gibbula,Gibbula divaricata
GBX,Red-brown gibbula,Gibbula ardens
GBY,Chapel gibbula,Gibbula fanulum
GBZ,Bellotti's goby,Gobius ater
GCA,Masked grouper,Gracila albomarginata
GCB,Gonichthys barnesi,Gonichthys barnesi
GCF,Gymnochanda filamentosa,Gymnochanda filamentosa
GCI,Longjaw mudsucker,Gillichthys mirabilis
GCL,Conidens laticephalus,Conidens laticephalus
GCQ,Ciliata spp,Ciliata spp
GCR,Red-mouthed goby,Gobius cruentatus
GCS,Northern rockling,Ciliata septentrionalis
GCX,Rocksucker,Chorisochismus dentex
GDB,Two-spotted clingfish,Diplecogaster bimaculata
GDC,Crinoid clingfish,Discotrema crinophila
GDE,Threadfin rockling,Gaidropsarus ensis
GDF,Spotted puffer,Guentheridia formosa
GDG,Silvery pout,Gadiculus argenteus
GDI,Beardless codling,Gadella imberbis
GDJ,"Mojarras, etc. nei",Gerreidae
GDL,Gadella,Gadella maraldi
GDN,Diademichthys lineatus,Diademichthys lineatus
GDO,Urchin clingfish,Dellichthys morelandi
GDP,Orange clingfish,Diplocrepis puniceus
GDR,Ploughfish,Gymnodraco acuticeps
GDT,Arctic rockling,Gaidropsarus argentatus
GDW,Gonate squids nei,Gonatidae
GEA,Gerlachea australis,Gerlachea australis
GEB,Ornate angelfish,Genicanthus bellus
GED,Purple land crab,Gecarcoidea lalandii
GEF,Whipfin silver-biddy,Gerres filamentosus
GEG,Guri sea catfish,Genidens genidens
GEH,Gerres setifer,Gerres setifer
GEI,Pitcairn angelfish,Genicanthus spinus
GEJ,Common silver-biddy,Gerres oyena
GEK,Weedsucker,Eckloniaichthys scylliorhiniceps
GEM,Silver gemfish,Rexea solandri
GEN,Yellow fin mojarra,Gerres cinereus
GEO,Slender silver-biddy,Gerres oblongus
GEP,"Snake mackerels, escolars nei",Gempylidae
GER,Chaceon geryons nei,Chaceon spp
GES,Snake mackerel,Gempylus serpens
GET,Strongspine silver-biddy,Gerres poieti
GEU,Torroto grunt,Genyatremus luteus
GEV,Deep-bodied mojarra,Gerres abbreviatus
GEY,"Deep-sea crabs, geryons nei",Geryonidae
GEZ,Guinean striped mojarra,Gerres nigri
GFB,Greater forkbeard,Phycis blennoides
GFC,Vicary armoured shrimp,Glyphocrangon vicaria
GFE,Cologrammus flavescens,Cologrammus flavescens
GFF,Striped silver biddy,Gerres methueni
GFG,Guinean conger,Paraconger notialis
GFH,Lesson's thicklip,Plectorhinchus lessonii
GFI,Panama armoured shrimp,Glyphocrangon sicaria
GFM,Rippled blaasop,Pelagocephalus marki
GFR,Green birdmouth wrasse,Gomphosus caeruleus
GFS,Spiny armoured shrimp,Glyphocrangon spinulosa
GFT,Armoured shrimp,Glyphocrangon alata
GFU,Kangaroo shrimp,Glyphus marsupialis
GFV,Bird wrasse,Gomphosus varius
GFX,Tegula spp,Tegula spp
GFY,Flabby whalefish,Gyrinomimus grahami
GGB,Koaro,Galaxias brevipinnis
GGC,Tasmanian mudfish,Galaxias cleaveri
GGD,Shore rockling,Gaidropsarus mediterraneus
GGF,Banded kokopu,Galaxias fasciatus
GGG,Beaked salmon,Gonorynchus gonorynchus
GGH,Gigantura,Gigantura chuni
GGI,Gargariscus prionocephalus,Gargariscus prionocephalus
GGJ,Giganthias immaculatus,Giganthias immaculatus
GGK,Aseraggodes kaianus,Aseraggodes kaianus
GGM,Inanga,Galaxias maculatus
GGN,Gigantactis elsmani,Gigantactis elsmani
GGO,Red velvetfish,Gnathanacanthus goetzeei
GGP,Shortjaw kokopu,Galaxias postvectis
GGR,Bigeye rockling,Gaidropsarus macrophthalmus
GGU,Three-bearded rockling,Gaidropsarus vulgaris
GGV,Common river galaxias,Galaxias vulgaris
GGX,Mauve goby,Palatogobius paradoxus
GGY,Mediterranean bigeye rockling,Gaidropsarus biscayensis
GGZ,Cape galaxias,Galaxias zebratus
GHA,Atlantic sawtail catshark,Galeus atlanticus
GHB,Bucchich's goby,Gobius bucchichi
GHC,Spotted robust triplefin,Grahamina capito
GHE,Halfbarred pout,Gymnelus hemifasciatus
GHK,Yellowstripe wormfish,Gunnellichthys viridescens
GHL,Greenland halibut,Reinhardtius hippoglossoides
GHM,Gymnachirus melas,Gymnachirus melas
GHN,Great keyhole limpet,Megathura crenulata
GHO,Halfblind goby,Lethops connectens
GHP,Yellowfin notothen,Patagonotothen guntheri
GHS,Goldie river mullet,Cestraeus goldiei
GHY,Spottail moray,Gymnothorax equatorialis
GID,Obscure triplefin,Gilloblennius abditus
GIH,Philbert's gibbula,Gibbula philberti
GIK,Racer mangrove crab,Goniopsis pulchra
GIM,Gulf opal eye,Girella simplicidens
GIO,Sandy stargazer,Gillellus arenicola
GIP,Barramundi(=Giant seaperch),Lates calcarifer
GIQ,Opaleye,Girella nigricans
GIS,Jumbo flying squid,Dosidicus gigas
GIT,Giant tiger prawn,Penaeus monodon
GIV,Nineline goby,Ginsburgellus novemlineatus
GIW,Giant periwinkle,Turbo sarmaticus
GIY,Parore,Girella tricuspidata
GIZ,Magus gibbula,Gibbula magus
GJG,Cornish sucker,Lepadogaster purpurea
GJI,Richard's gibbula,Gibbula richardi
GJL,Kuro shrimp,Argis lar
GJM,Umbilicate medit. gibbula,Gibbula umbilicaris
GJN,Largescale blackfish,Girella punctata
GJR,Concave gibbula,Gibbula rarilineata
GJV,Variegate gibbula,Gibbula varia
GKE,Snakeskin tegula,Tegula pellisserpentis
GKM,Malpelo land crab,Gecarcinus malpilensis
GKN,Kopua nuimata,Kopua nuimata
GKP,Red Pacific land crab,Gecarcinus planatus
GKQ,Whitespotted land crab,Gecarcinus quadratus
GKT,Tasmanian giant crab,Pseudocarcinus gigas
GKY,Glossanodon polli,Glossanodon polli
GLC,Lecanogaster chrysea,Lecanogaster chrysea
GLF,Gladiator goby,Gladiogobius ensifer
GLG,Guillet's goby,Lebetus guilleti
GLH,Westralian jewfish,Glaucosoma hebraicum
GLI,Smalltoothed argentine,Glossanodon leioglossus
GLJ,Jugular blenny,Glyptoparus jugularis
GLK,Curious wormfish,Gunnellichthys curiosus
GLL,Tasmanian whitebait,Lovettia sealii
GLN,Lepadichthys bolini,Lepadichthys bolini
GLP,Shore clingfish,Lepadogaster lepadogaster
GLR,Connemarra clingfish,Lepadogaster candollei
GLT,Golden trevally,Gnathanodon speciosus
GLU,Glaucosoma scapulare,Glaucosoma scapulare
GLY,Paragunnellichthys seychellensis,Paragunnellichthys seychellensis
GLZ,Rex sole,Glyptocephalus zachirus
GMA,Ocellate soapfish,Grammistops ocellatus
GMC,Long-tailed groppo,Grammatonotus crosnieri
GMD,Splitbanded goby,Gymneleotris seminudus
GME,Yellowsnout large-eye bream,Gymnocranius frenatus
GMF,Grammatostomias flagellibarba,Grammatostomias flagellibarba
GMG,Thorny tinselfish,Grammicolepis brachiusculus
GMH,Gymnocanthus herzensteini,Gymnocanthus herzensteini
GMI,Trident prickleback,Gymnoclinus cristulatus
GMJ,Sagamia geneionema,Sagamia geneionema
GMK,Spotfin flathead,Grammoplites suppositus
GML,Royal gramma,Gramma loreto
GMM,Modicus minimus,Modicus minimus
GMN,Gymnogobius raninus,Gymnogobius raninus
GMO,Bighead brotula,Grammonoides opisthodon
GMP,Cape sandlance,Gymnammodytes capensis
GMQ,Japanese large-eye bream,Gymnocranius euanus
GMR,Grey large-eye bream,Gymnocranius griseus
GMT,Grammonus ater,Grammonus ater
GMU,Guinea flathead,Solitas gruveli
GMV,Janbruin,Gymnocrotaphus curvidens
GMW,Blue-lined large-eye bream,Gymnocranius grandoculis
GMY,Slender fusilier,Gymnocaesio gymnoptera
GNB,Canterbury mudfish,Neochanna burrowsius
GNC,Nurse shark,Ginglymostoma cirratum
GND,Black mudfish,Neochanna diversus
GNF,Crystal cardinal,Gymnapogon africanus
GNG,Nurse sharks nei,Ginglymostoma spp
GNZ,Areolated horned shrimp,Paracrangon areolata
GOA,West African goatfish,Pseudupeneus prayensis
GOB,Atlantic gobies nei,Gobius spp
GOC,Opeatogenys cadenati,Opeatogenys cadenati
GOD,Gobitrichinotus radiocularis,Gobitrichinotus radiocularis
GOE,Pogonolycus elegans,Pogonolycus elegans
GOF,Fries's goby,Lesueurigobius friesii
GOH,Spanish flag,Gonioplectrus hispanus
GOI,Gobiopsis aporia,Gobiopsis aporia
GOJ,Gorogobius nigricinctus,Gorogobius nigricinctus
GOK,Whitecap goby,Lotilia graciliosa
GOL,Gobiodon acicularis,Gobiodon acicularis
GON,Rock goby,Gobius paganellus
GOO,Goose barnacles nei,Lepas spp
GOQ,Goblin prawn,Glyphocrangon lowryi
GOX,Goatfishes,Upeneus spp
GOZ,Steinitz's goby,Gammogobius steinitzi
GPA,Gobies nei,Gobiidae
GPB,Brazilian groupers nei,Mycteroperca spp
GPC,Guinean pike conger,Cynoponticus ferox
GPD,Dusky grouper,Epinephelus marginatus
GPE,Longfin hake,Phycis chesteri
GPF,Shrimp flounder,Gastropsetta frontalis
GPG,Propherallodus briggsi,Propherallodus briggsi
GPI,Meteor goby,Palutrus meteori
GPJ,Purple mangrove crab,Goniopsis pelii
GPK,Natal lightfoot crab,Grapsus tenuicrustatus
GPL,Bay goby,Lepidogobius lepidus
GPM,Aspasma minima,Aspasma minima
GPN,Nassau grouper,Epinephelus striatus
GPP,Leucopsarion petersi,Leucopsarion petersi
GPR,Red grouper,Epinephelus morio
GPS,Spotted grouper,Epinephelus analogus
GPT,Ninespine stickleback,Pungitius pungitius
GPU,Shannon galaxias,Paragalaxias dissimilis
GPW,White grouper,Epinephelus aeneus
GPX,Groupers nei,Epinephelus spp
GPY,Lobed river mullet,Cestraeus plicatilis
GQA,Alaska shrimp,Crangon alaskensis
GQC,Gray shrimp,Crangon communis
GQD,Sordid rubberlip,Plectorhinchus sordidus
GQF,California shrimp,Crangon franciscorum
GQG,Precious stone shell,Latirolagena smaragdula
GQI,Bay shrimp,Crangon nigromaculata
GQN,Blacktailed shrimp,Crangon nigricauda
GQQ,Atlantic fangjaw,Gonostoma atlanticum
GQS,Sand shrimp,Crangon septemspinosa
GQT,Blackspotted rubberlip,Plectorhinchus gaterinus
GQV,Oriental sweetlips,Plectorhinchus orientalis
GQW,Whitebarred rubberlip,Plectorhinchus playfairi
GQZ,Spark anglemouth,Sigmops bathyphilus
GRA,African striped grunt,Parapristipoma octolineatum
GRB,Bigeye grunt,Brachydeuterus auritus
GRC,Greenland cod,Gadus ogac
GRE,Greeneyes,Chlorophthalmidae
GRF,Southern clingfish,Rimicola dimorpha
GRH,Threespot flounder,Grammatobothus polyophthalmus
GRL,Silver grunt,Pomadasys argenteus
GRM,Patagonian grenadier,Macruronus magellanicus
GRN,Blue grenadier,Macruronus novaezelandiae
GRO,Groundfishes nei,Osteichthyes
GRP,Cabinza grunt,Isacia conceptionis
GRQ,Mediterranean geryon,Geryon longipes
GRV,Grenadiers nei,Macrourus spp
GRX,"Grunts, sweetlips nei",Haemulidae (=Pomadasyidae)
GSA,Brownback trevally,Carangoides praeustus
GSC,Asra turcomanus,Asra turcomanus
GSD,Gonostoma denudatum,Gonostoma denudatum
GSE,Goldenstriped soapfish,Grammistes sexlineatus
